,2023-01-11 (三),2023-01-12 (四),2023-01-13 (五),2023-01-14 (六),2023-01-15 (日),2023-01-16 (一)
8-9,0.0,0.0,0.0,0.0,0.0,15.0
9-10,0.0,0.0,0.0,0.0,0.0,15.0
10-11,0.0,0.0,0.0,0.0,0.0,13.0
11-12,0.0,0.0,0.0,0.0,11.0,13.0
12-13,0.0,0.0,0.0,0.0,9.0,12.0
13-14,10.0,6.0,7.0,12.0,10.0,13.0
14-15,0.0,0.0,0.0,1.0,0.0,13.0
15-16,0.0,0.0,0.0,1.0,0.0,12.0
16-17,0.0,0.0,0.0,0.0,0.0,12.0
17-18,2.0,11.0,8.0,7.0,8.0,15.0
18-19,0.0,0.0,0.0,9.0,0.0,14.0
19-20,0.0,0.0,0.0,5.0,0.0,9.0
20-21,0.0,0.0,0.0,6.0,0.0,3.0
21-22,0.0,0.0,0.0,10.0,0.0,5.0
